Disease	Gene	Differential Expression	PB-ROC	PN-ROC
cardiovascular system disease	BPHL	vs bgc: down, vs negatives: down	0.69	0.68
cardiovascular system disease	DDX18	vs bgc: down, vs negatives: down	0.75	0.71
cardiovascular system disease	HSPB2	vs bgc: up, vs negatives: up	0.68	0.8
cardiovascular system disease	MYOM2	vs bgc: up, vs negatives: up	0.76	0.9
cardiovascular system disease	CLTCL1	vs bgc: up, vs negatives: up	0.74	0.76
cardiovascular system disease	IL6R	vs bgc: down, vs negatives: down	0.77	0.71
cardiovascular system disease	CASP1	vs bgc: down, vs negatives: down	0.68	0.74
cardiovascular system disease	LEFTY2	vs bgc: up, vs negatives: up	0.76	0.74
cardiovascular system disease	CCBL1	vs bgc: up, vs negatives: up	0.66	0.73
cardiovascular system disease	RGS11	vs bgc: up, vs negatives: up	0.7	0.76
cardiovascular system disease	FZD5	vs bgc: down, vs negatives: down	0.7	0.73
cardiovascular system disease	NME5	vs bgc: down, vs negatives: up	0.71	0.68
cardiovascular system disease	SRPK3	vs bgc: up, vs negatives: up	0.75	0.69
cardiovascular system disease	LIG4	vs bgc: down, vs negatives: down	0.73	0.7
cardiovascular system disease	TIMP4	vs bgc: up, vs negatives: up	0.67	0.78
cardiovascular system disease	FMO4	vs bgc: up, vs negatives: up	0.77	0.7
cardiovascular system disease	NR0B2	vs bgc: up, vs negatives: up	0.75	0.68
cardiovascular system disease	MASP1	vs bgc: up, vs negatives: up	0.75	0.69
cardiovascular system disease	PLXNC1	vs bgc: down, vs negatives: down	0.71	0.71
cardiovascular system disease	EFEMP2	vs bgc: up, vs negatives: up	0.8	0.77
cardiovascular system disease	IL18R1	vs bgc: down, vs negatives: down	0.76	0.67
cardiovascular system disease	BCL2L1	vs bgc: down, vs negatives: down	0.75	0.69
cardiovascular system disease	CHRNB1	vs bgc: up, vs negatives: down	0.67	0.69
cardiovascular system disease	KCNA5	vs bgc: up, vs negatives: up	0.76	0.68
cardiovascular system disease	KCNJ2	vs bgc: up, vs negatives: up	0.69	0.71
cardiovascular system disease	ALDH1A2	vs bgc: up, vs negatives: up	0.75	0.75
cardiovascular system disease	ACO1	vs bgc: up, vs negatives: up	0.71	0.76
cardiovascular system disease	SLC25A11	vs bgc: up, vs negatives: up	0.76	0.8
cardiovascular system disease	CHM	vs bgc: down, vs negatives: down	0.73	0.66
cardiovascular system disease	ISLR	vs bgc: up, vs negatives: up	0.79	0.65
cardiovascular system disease	PTBP3	vs bgc: down, vs negatives: down	0.75	0.67
cardiovascular system disease	SGCG	vs bgc: up, vs negatives: up	0.78	0.88
cardiovascular system disease	TGFBR2	vs bgc: up, vs negatives: down	0.68	0.67
cardiovascular system disease	ATP5I	vs bgc: up, vs negatives: up	0.73	0.78
cardiovascular system disease	DDO	vs bgc: up, vs negatives: up	0.78	0.78
cardiovascular system disease	DNAJB5	vs bgc: up, vs negatives: up	0.65	0.83
cardiovascular system disease	NGLY1	vs bgc: down, vs negatives: down	0.75	0.7
cardiovascular system disease	SLC4A7	vs bgc: down, vs negatives: down	0.74	0.71
cardiovascular system disease	SERPINH1	vs bgc: up, vs negatives: up	0.7	0.68
cardiovascular system disease	CYP2R1	vs bgc: down, vs negatives: down	0.74	0.65
cardiovascular system disease	FLNC	vs bgc: up, vs negatives: up	0.65	0.75
cardiovascular system disease	DPT	vs bgc: up, vs negatives: up	0.77	0.79
cardiovascular system disease	TLL2	vs bgc: up, vs negatives: up	0.67	0.67
cardiovascular system disease	LAPTM4B	vs bgc: up, vs negatives: up	0.73	0.76
cardiovascular system disease	MYBPC3	vs bgc: up, vs negatives: up	0.75	0.91
cardiovascular system disease	PPARD	vs bgc: down, vs negatives: down	0.75	0.73
cardiovascular system disease	NAB1	vs bgc: down, vs negatives: down	0.66	0.67
cardiovascular system disease	TTC3	vs bgc: down, vs negatives: down	0.68	0.71
cardiovascular system disease	COL21A1	vs bgc: up, vs negatives: up	0.75	0.72
cardiovascular system disease	LSR	vs bgc: down, vs negatives: down	0.73	0.69
cardiovascular system disease	PDE1A	vs bgc: up, vs negatives: up	0.79	0.65
cardiovascular system disease	CD164	vs bgc: down, vs negatives: down	0.65	0.71
cardiovascular system disease	PTN	vs bgc: up, vs negatives: up	0.8	0.65
cardiovascular system disease	ING1	vs bgc: down, vs negatives: down	0.76	0.8
cardiovascular system disease	SPTB	vs bgc: up, vs negatives: up	0.66	0.75
cardiovascular system disease	DNAJC3	vs bgc: down, vs negatives: down	0.74	0.66
cardiovascular system disease	BSG	vs bgc: up, vs negatives: up	0.7	0.73
cardiovascular system disease	RPS3	vs bgc: down, vs negatives: down	0.68	0.66
cardiovascular system disease	TKT	vs bgc: down, vs negatives: down	0.74	0.67
cardiovascular system disease	SMARCA4	vs bgc: down, vs negatives: down	0.75	0.68
cardiovascular system disease	THY1	vs bgc: down, vs negatives: up	0.77	0.65
cardiovascular system disease	PRCC	vs bgc: down, vs negatives: down	0.73	0.76
cardiovascular system disease	NDUFA9	vs bgc: up, vs negatives: up	0.78	0.79
cardiovascular system disease	STAT3	vs bgc: up, vs negatives: up	0.65	0.71
cardiovascular system disease	SYNCRIP	vs bgc: down, vs negatives: down	0.77	0.66
cardiovascular system disease	RGS5	vs bgc: up, vs negatives: up	0.76	0.74
cardiovascular system disease	ISCU	vs bgc: up, vs negatives: up	0.72	0.71
cardiovascular system disease	TXN2	vs bgc: up, vs negatives: up	0.75	0.69
cardiovascular system disease	DLD	vs bgc: up, vs negatives: up	0.73	0.81
cardiovascular system disease	IFRD2	vs bgc: up, vs negatives: up	0.66	0.66
cardiovascular system disease	TSPAN6	vs bgc: down, vs negatives: up	0.7	0.71
cardiovascular system disease	TAX1BP3	vs bgc: up, vs negatives: up	0.66	0.74
cardiovascular system disease	SYT11	vs bgc: down, vs negatives: down	0.68	0.68
cardiovascular system disease	GHITM	vs bgc: up, vs negatives: up	0.72	0.86
cardiovascular system disease	TSPAN4	vs bgc: up, vs negatives: up	0.65	0.68
cardiovascular system disease	CA2	vs bgc: down, vs negatives: down	0.73	0.71
cardiovascular system disease	PWP2	vs bgc: up, vs negatives: up	0.66	0.76
cardiovascular system disease	TEAD3	vs bgc: up, vs negatives: up	0.66	0.66
cardiovascular system disease	CCDC28A	vs bgc: down, vs negatives: down	0.65	0.65
cardiovascular system disease	NSL1	vs bgc: down, vs negatives: down	0.69	0.65
cardiovascular system disease	PLA2G4C	vs bgc: up, vs negatives: up	0.73	0.76
cardiovascular system disease	ARNTL	vs bgc: down, vs negatives: down	0.74	0.68
cardiovascular system disease	CRADD	vs bgc: up, vs negatives: up	0.69	0.82
cardiovascular system disease	GLT25D2	vs bgc: up, vs negatives: up	0.8	0.67
cardiovascular system disease	ATP2C1	vs bgc: down, vs negatives: down	0.67	0.68
cardiovascular system disease	CAMK2B	vs bgc: up, vs negatives: up	0.75	0.74
cardiovascular system disease	NPPA	vs bgc: up, vs negatives: up	0.78	0.75
cardiovascular system disease	CSDC2	vs bgc: up, vs negatives: up	0.66	0.76
cardiovascular system disease	GATA6	vs bgc: up, vs negatives: up	0.74	0.85
cardiovascular system disease	APEX1	vs bgc: down, vs negatives: down	0.67	0.66
cardiovascular system disease	ORC3	vs bgc: up, vs negatives: up	0.77	0.73
cardiovascular system disease	TM7SF2	vs bgc: up, vs negatives: up	0.77	0.81
cardiovascular system disease	MYOC	vs bgc: up, vs negatives: up	0.74	0.69
cardiovascular system disease	C6	vs bgc: up, vs negatives: up	0.77	0.74
cardiovascular system disease	TRIM33	vs bgc: down, vs negatives: down	0.66	0.83
cardiovascular system disease	HIST1H2BG	vs bgc: down, vs negatives: down	0.78	0.73
cardiovascular system disease	CCIN	vs bgc: up, vs negatives: up	0.68	0.68
cardiovascular system disease	NECAB3	vs bgc: up, vs negatives: up	0.77	0.75
cardiovascular system disease	COL4A6	vs bgc: up, vs negatives: up	0.74	0.66
cardiovascular system disease	MGLL	vs bgc: up, vs negatives: up	0.75	0.66
cardiovascular system disease	PTPRU	vs bgc: up, vs negatives: up	0.69	0.65
cardiovascular system disease	BMP4	vs bgc: up, vs negatives: up	0.75	0.68
cardiovascular system disease	MYH9	vs bgc: up, vs negatives: down	0.67	0.77
cardiovascular system disease	STIP1	vs bgc: up, vs negatives: down	0.66	0.67
cardiovascular system disease	TPGS2	vs bgc: down, vs negatives: down	0.67	0.78
cardiovascular system disease	POGZ	vs bgc: down, vs negatives: down	0.66	0.76
cardiovascular system disease	FKBP9	vs bgc: up, vs negatives: up	0.78	0.7
cardiovascular system disease	PNISR	vs bgc: down, vs negatives: down	0.7	0.73
cardiovascular system disease	MPRIP	vs bgc: up, vs negatives: up	0.72	0.77
cardiovascular system disease	OPA1	vs bgc: up, vs negatives: up	0.7	0.8
cardiovascular system disease	MCFD2	vs bgc: down, vs negatives: down	0.75	0.67
cardiovascular system disease	MOAP1	vs bgc: up, vs negatives: up	0.66	0.71
cardiovascular system disease	STK38L	vs bgc: up, vs negatives: up	0.68	0.7
cardiovascular system disease	PCCB	vs bgc: up, vs negatives: up	0.78	0.85
cardiovascular system disease	CRY2	vs bgc: up, vs negatives: up	0.78	0.84
cardiovascular system disease	MFAP4	vs bgc: up, vs negatives: up	0.78	0.74
cardiovascular system disease	MKL1	vs bgc: up, vs negatives: down	0.65	0.68
cardiovascular system disease	ANKMY2	vs bgc: up, vs negatives: up	0.76	0.66
cardiovascular system disease	CBS	vs bgc: down, vs negatives: down	0.68	0.76
cardiovascular system disease	CKAP5	vs bgc: up, vs negatives: up	0.77	0.74
cardiovascular system disease	CDS2	vs bgc: up, vs negatives: up	0.73	0.81
cardiovascular system disease	SLC30A1	vs bgc: up, vs negatives: up	0.72	0.68
cardiovascular system disease	APBB2	vs bgc: down, vs negatives: up	0.69	0.66
cardiovascular system disease	OLFML2A	vs bgc: up, vs negatives: up	0.75	0.71
cardiovascular system disease	SASH1	vs bgc: up, vs negatives: up	0.74	0.71
cardiovascular system disease	TMEM158	vs bgc: down, vs negatives: down	0.74	0.72
cardiovascular system disease	TDRD7	vs bgc: down, vs negatives: down	0.69	0.74
cardiovascular system disease	RPS12	vs bgc: down, vs negatives: down	0.69	0.67
cardiovascular system disease	RPP40	vs bgc: down, vs negatives: down	0.74	0.72
cardiovascular system disease	MFHAS1	vs bgc: down, vs negatives: down	0.76	0.7
cardiovascular system disease	KLHL23	vs bgc: down, vs negatives: down	0.71	0.79
cardiovascular system disease	CFH	vs bgc: up, vs negatives: up	0.79	0.66
cardiovascular system disease	RAP2B	vs bgc: down, vs negatives: down	0.74	0.73
cardiovascular system disease	AGFG1	vs bgc: down, vs negatives: down	0.74	0.71
cardiovascular system disease	PLXDC1	vs bgc: up, vs negatives: up	0.67	0.71
cardiovascular system disease	SHMT2	vs bgc: down, vs negatives: down	0.77	0.66
cardiovascular system disease	HIST2H2AA3	vs bgc: down, vs negatives: down	0.75	0.66
cardiovascular system disease	LAMB2	vs bgc: up, vs negatives: up	0.76	0.79
cardiovascular system disease	GDF11	vs bgc: up, vs negatives: up	0.69	0.79
cardiovascular system disease	NXPE3	vs bgc: down, vs negatives: down	0.66	0.65
cardiovascular system disease	VPS35	vs bgc: up, vs negatives: up	0.76	0.65
cardiovascular system disease	HN1	vs bgc: down, vs negatives: down	0.75	0.78
cardiovascular system disease	NRBP1	vs bgc: up, vs negatives: up	0.66	0.78
cardiovascular system disease	PIGT	vs bgc: up, vs negatives: up	0.75	0.77
cardiovascular system disease	YKT6	vs bgc: up, vs negatives: up	0.67	0.66
cardiovascular system disease	GNL3	vs bgc: down, vs negatives: down	0.75	0.89
cardiovascular system disease	FXYD6	vs bgc: up, vs negatives: up	0.75	0.68
cardiovascular system disease	BAG3	vs bgc: up, vs negatives: up	0.66	0.78
cardiovascular system disease	FAM129A	vs bgc: up, vs negatives: up	0.69	0.84
cardiovascular system disease	ASNSD1	vs bgc: down, vs negatives: down	0.75	0.71
cardiovascular system disease	MPC1	vs bgc: up, vs negatives: up	0.76	0.82
cardiovascular system disease	NUSAP1	vs bgc: down, vs negatives: down	0.66	0.75
cardiovascular system disease	COPS4	vs bgc: up, vs negatives: up	0.75	0.79
cardiovascular system disease	CHMP5	vs bgc: down, vs negatives: down	0.66	0.65
cardiovascular system disease	AGPAT5	vs bgc: down, vs negatives: down	0.76	0.76
cardiovascular system disease	CUEDC2	vs bgc: up, vs negatives: up	0.74	0.67
cardiovascular system disease	SCAMP2	vs bgc: up, vs negatives: up	0.68	0.71
cardiovascular system disease	SPATA20	vs bgc: up, vs negatives: up	0.77	0.74
cardiovascular system disease	DERL1	vs bgc: down, vs negatives: down	0.75	0.66
cardiovascular system disease	TRAPPC11	vs bgc: down, vs negatives: down	0.71	0.66
cardiovascular system disease	GOLT1B	vs bgc: down, vs negatives: down	0.75	0.69
cardiovascular system disease	FYCO1	vs bgc: up, vs negatives: up	0.76	0.89
cardiovascular system disease	C12orf44	vs bgc: down, vs negatives: down	0.74	0.69
cardiovascular system disease	NKIRAS2	vs bgc: up, vs negatives: up	0.74	0.72
cardiovascular system disease	WDR74	vs bgc: down, vs negatives: down	0.72	0.67
cardiovascular system disease	FAM188A	vs bgc: down, vs negatives: down	0.69	0.69
cardiovascular system disease	C14orf159	vs bgc: up, vs negatives: up	0.75	0.85
cardiovascular system disease	HERC1	vs bgc: up, vs negatives: up	0.67	0.75
cardiovascular system disease	AKTIP	vs bgc: up, vs negatives: up	0.65	0.68
cardiovascular system disease	FANCL	vs bgc: down, vs negatives: down	0.68	0.82
cardiovascular system disease	SDCCAG3	vs bgc: down, vs negatives: down	0.75	0.67
cardiovascular system disease	BBS1	vs bgc: up, vs negatives: up	0.76	0.66
cardiovascular system disease	FAM134B	vs bgc: up, vs negatives: up	0.77	0.79
cardiovascular system disease	TMEM57	vs bgc: down, vs negatives: down	0.73	0.76
cardiovascular system disease	HAUS6	vs bgc: down, vs negatives: down	0.74	0.73
cardiovascular system disease	NUP37	vs bgc: down, vs negatives: down	0.67	0.67
cardiovascular system disease	LARP6	vs bgc: up, vs negatives: up	0.65	0.65
cardiovascular system disease	LHFP	vs bgc: up, vs negatives: up	0.77	0.77
cardiovascular system disease	FZD4	vs bgc: up, vs negatives: up	0.75	0.66
cardiovascular system disease	PUS1	vs bgc: down, vs negatives: down	0.76	0.67
cardiovascular system disease	ATPIF1	vs bgc: up, vs negatives: up	0.75	0.7
cardiovascular system disease	PALMD	vs bgc: up, vs negatives: up	0.76	0.8
cardiovascular system disease	MSRB2	vs bgc: up, vs negatives: up	0.71	0.76
cardiovascular system disease	C10orf76	vs bgc: up, vs negatives: up	0.7	0.94
cardiovascular system disease	CNNM4	vs bgc: up, vs negatives: up	0.77	0.76
cardiovascular system disease	EHD3	vs bgc: up, vs negatives: up	0.75	0.78
cardiovascular system disease	DDX60	vs bgc: down, vs negatives: down	0.7	0.7
cardiovascular system disease	SLC35E3	vs bgc: down, vs negatives: down	0.7	0.73
cardiovascular system disease	GALNT11	vs bgc: down, vs negatives: down	0.65	0.67
cardiovascular system disease	NIP7	vs bgc: down, vs negatives: down	0.75	0.7
cardiovascular system disease	OPN3	vs bgc: down, vs negatives: down	0.69	0.77
cardiovascular system disease	SRBD1	vs bgc: down, vs negatives: down	0.72	0.69
cardiovascular system disease	TINAGL1	vs bgc: up, vs negatives: up	0.69	0.74
cardiovascular system disease	ASPN	vs bgc: up, vs negatives: up	0.81	0.72
cardiovascular system disease	RASL11B	vs bgc: up, vs negatives: up	0.79	0.66
cardiovascular system disease	DUSP26	vs bgc: up, vs negatives: up	0.77	0.78
cardiovascular system disease	PPARGC1A	vs bgc: up, vs negatives: up	0.74	0.69
cardiovascular system disease	JAM2	vs bgc: up, vs negatives: up	0.77	0.68
cardiovascular system disease	SUV39H2	vs bgc: down, vs negatives: down	0.73	0.65
cardiovascular system disease	PCOLCE2	vs bgc: up, vs negatives: up	0.74	0.73
cardiovascular system disease	ZDHHC13	vs bgc: down, vs negatives: down	0.7	0.69
cardiovascular system disease	PDGFD	vs bgc: up, vs negatives: up	0.78	0.72
cardiovascular system disease	LRRC49	vs bgc: up, vs negatives: up	0.75	0.74
cardiovascular system disease	CDC37L1	vs bgc: up, vs negatives: down	0.65	0.76
cardiovascular system disease	CEPT1	vs bgc: down, vs negatives: down	0.65	0.75
cardiovascular system disease	FKBP14	vs bgc: down, vs negatives: down	0.72	0.75
cardiovascular system disease	PORCN	vs bgc: up, vs negatives: up	0.66	0.73
cardiovascular system disease	C1orf54	vs bgc: up, vs negatives: up	0.7	0.65
cardiovascular system disease	MYOZ1	vs bgc: up, vs negatives: up	0.74	0.72
cardiovascular system disease	PBLD	vs bgc: down, vs negatives: down	0.67	0.69
cardiovascular system disease	COPZ2	vs bgc: up, vs negatives: up	0.77	0.72
cardiovascular system disease	TTPAL	vs bgc: down, vs negatives: down	0.75	0.74
cardiovascular system disease	SYNPO2L	vs bgc: up, vs negatives: up	0.72	0.8
cardiovascular system disease	GFOD1	vs bgc: up, vs negatives: up	0.65	0.72
cardiovascular system disease	EFHC1	vs bgc: down, vs negatives: down	0.66	0.69
cardiovascular system disease	ASPM	vs bgc: down, vs negatives: down	0.65	0.82
cardiovascular system disease	SLC27A6	vs bgc: up, vs negatives: up	0.66	0.9
cardiovascular system disease	LRRC2	vs bgc: up, vs negatives: up	0.73	0.82
cardiovascular system disease	DUSP13	vs bgc: up, vs negatives: up	0.69	0.74
cardiovascular system disease	TXLNG	vs bgc: down, vs negatives: down	0.74	0.76
cardiovascular system disease	HOOK1	vs bgc: down, vs negatives: down	0.76	0.81
cardiovascular system disease	ACAD10	vs bgc: up, vs negatives: up	0.72	0.85
cardiovascular system disease	CNTLN	vs bgc: up, vs negatives: up	0.68	0.75
cardiovascular system disease	C14orf45	vs bgc: up, vs negatives: up	0.75	0.66
cardiovascular system disease	SMEK1	vs bgc: down, vs negatives: down	0.73	0.69
cardiovascular system disease	SEMA6B	vs bgc: up, vs negatives: up	0.68	0.75
cardiovascular system disease	PADI3	vs bgc: up, vs negatives: up	0.68	0.67
cardiovascular system disease	C1QTNF1	vs bgc: up, vs negatives: up	0.67	0.71
cardiovascular system disease	LBH	vs bgc: up, vs negatives: up	0.65	0.72
cardiovascular system disease	RNF123	vs bgc: up, vs negatives: up	0.76	0.73
cardiovascular system disease	CSAD	vs bgc: down, vs negatives: down	0.66	0.75
cardiovascular system disease	BACH2	vs bgc: down, vs negatives: down	0.7	0.74
cardiovascular system disease	MED16	vs bgc: down, vs negatives: down	0.72	0.67
cardiovascular system disease	ITFG1	vs bgc: up, vs negatives: up	0.78	0.84
cardiovascular system disease	RRAGD	vs bgc: up, vs negatives: up	0.72	0.8
cardiovascular system disease	NUDT3	vs bgc: up, vs negatives: up	0.67	0.81
cardiovascular system disease	C19orf24	vs bgc: down, vs negatives: down	0.75	0.75
cardiovascular system disease	GPR124	vs bgc: up, vs negatives: up	0.76	0.69
cardiovascular system disease	CASKIN2	vs bgc: up, vs negatives: up	0.66	0.67
cardiovascular system disease	MOSPD2	vs bgc: down, vs negatives: down	0.67	0.67
cardiovascular system disease	PAOX	vs bgc: down, vs negatives: down	0.74	0.71
cardiovascular system disease	FAM110B	vs bgc: up, vs negatives: up	0.75	0.77
cardiovascular system disease	ADAMTS1	vs bgc: up, vs negatives: up	0.67	0.75
acute lymphocytic leukemia	HNRNPC	vs bgc: up, vs negatives: up	0.88	0.88
acute lymphocytic leukemia	TARDBP	vs bgc: up, vs negatives: up	0.79	0.73
acute lymphocytic leukemia	EIF3F	vs bgc: up, vs negatives: up	0.9	0.86
acute lymphocytic leukemia	DDX5	vs bgc: up, vs negatives: up	0.91	0.81
acute lymphocytic leukemia	KHDRBS1	vs bgc: up, vs negatives: up	0.79	0.87
acute lymphocytic leukemia	ATP6V1G2	vs bgc: up, vs negatives: up	0.91	0.86
acute lymphocytic leukemia	DDX39B	vs bgc: up, vs negatives: up	0.94	0.91
acute lymphocytic leukemia	DAD1	vs bgc: down, vs negatives: down	0.92	0.65
acute lymphocytic leukemia	YY1	vs bgc: up, vs negatives: up	0.74	0.77
acute lymphocytic leukemia	ILF2	vs bgc: up, vs negatives: down	0.69	0.86
acute lymphocytic leukemia	CANX	vs bgc: up, vs negatives: up	0.8	0.72
acute lymphocytic leukemia	SART3	vs bgc: up, vs negatives: up	0.8	0.75
acute lymphocytic leukemia	RAD21	vs bgc: up, vs negatives: down	0.79	0.76
acute lymphocytic leukemia	MLEC	vs bgc: down, vs negatives: down	0.87	0.65
acute lymphocytic leukemia	PTGES3	vs bgc: up, vs negatives: down	0.88	0.74
acute lymphocytic leukemia	WARS	vs bgc: down, vs negatives: down	0.92	0.78
acute lymphocytic leukemia	HDLBP	vs bgc: down, vs negatives: down	0.88	0.7
acute lymphocytic leukemia	NUCB1	vs bgc: down, vs negatives: down	0.77	0.71
acute lymphocytic leukemia	S100A11	vs bgc: down, vs negatives: down	0.9	0.77
acute lymphocytic leukemia	CTSA	vs bgc: down, vs negatives: down	0.93	0.82
acute lymphocytic leukemia	CD63	vs bgc: down, vs negatives: down	0.92	0.69
acute lymphocytic leukemia	UBE2D3	vs bgc: up, vs negatives: up	0.94	0.84
acute lymphocytic leukemia	SPTBN1	vs bgc: up, vs negatives: up	0.94	0.83
acute lymphocytic leukemia	GRN	vs bgc: down, vs negatives: down	0.8	0.69
acute lymphocytic leukemia	NPC2	vs bgc: down, vs negatives: down	0.82	0.72
acute lymphocytic leukemia	PRKCSH	vs bgc: up, vs negatives: down	0.75	0.65
acute lymphocytic leukemia	RAN	vs bgc: up, vs negatives: down	0.81	0.84
acute lymphocytic leukemia	SRSF2	vs bgc: up, vs negatives: up	0.87	0.95
acute lymphocytic leukemia	ARL6IP5	vs bgc: down, vs negatives: down	0.71	0.68
acute lymphocytic leukemia	CTSD	vs bgc: down, vs negatives: down	0.94	0.9
acute lymphocytic leukemia	GNAS	vs bgc: up, vs negatives: up	0.93	0.81
acute lymphocytic leukemia	STMN1	vs bgc: up, vs negatives: up	0.86	0.93
acute lymphocytic leukemia	XRCC6	vs bgc: up, vs negatives: up	0.92	0.86
acute lymphocytic leukemia	TMBIM6	vs bgc: down, vs negatives: down	0.76	0.69
acute lymphocytic leukemia	LAMP2	vs bgc: down, vs negatives: down	0.88	0.8
acute lymphocytic leukemia	PLOD1	vs bgc: down, vs negatives: down	0.94	0.91
acute lymphocytic leukemia	CTSB	vs bgc: down, vs negatives: down	0.74	0.87
acute lymphocytic leukemia	PRDX6	vs bgc: down, vs negatives: down	0.94	0.65
acute lymphocytic leukemia	H2AFZ	vs bgc: up, vs negatives: down	0.81	0.82
acute lymphocytic leukemia	CCT8	vs bgc: up, vs negatives: up	0.89	0.79
acute lymphocytic leukemia	CKB	vs bgc: down, vs negatives: down	0.88	0.73
acute lymphocytic leukemia	RPS4X	vs bgc: up, vs negatives: up	0.88	0.82
acute lymphocytic leukemia	UBA1	vs bgc: up, vs negatives: up	0.9	0.82
acute lymphocytic leukemia	SERP1	vs bgc: up, vs negatives: up	0.71	0.74
acute lymphocytic leukemia	ACTA2	vs bgc: down, vs negatives: up	0.86	0.73
acute lymphocytic leukemia	PPT1	vs bgc: down, vs negatives: down	0.92	0.71
acute lymphocytic leukemia	TAX1BP1	vs bgc: down, vs negatives: down	0.83	0.65
acute lymphocytic leukemia	TRIM28	vs bgc: up, vs negatives: up	0.68	0.93
acute lymphocytic leukemia	RNPEP	vs bgc: up, vs negatives: down	0.71	0.67
acute lymphocytic leukemia	RPN1	vs bgc: down, vs negatives: down	0.96	0.67
acute lymphocytic leukemia	DSTN	vs bgc: down, vs negatives: down	0.81	0.76
acute lymphocytic leukemia	CD99	vs bgc: up, vs negatives: up	0.65	0.81
acute lymphocytic leukemia	PLD3	vs bgc: down, vs negatives: down	0.94	0.86
acute lymphocytic leukemia	SYNGR2	vs bgc: down, vs negatives: down	0.92	0.66
acute lymphocytic leukemia	SON	vs bgc: up, vs negatives: up	0.84	0.9
acute lymphocytic leukemia	LGALS1	vs bgc: down, vs negatives: down	0.91	0.81
acute lymphocytic leukemia	ITGB5	vs bgc: down, vs negatives: down	0.79	0.93
acute lymphocytic leukemia	TERF2IP	vs bgc: up, vs negatives: up	0.71	0.68
acute lymphocytic leukemia	LRPAP1	vs bgc: down, vs negatives: down	0.74	0.7
acute lymphocytic leukemia	CREG1	vs bgc: down, vs negatives: down	0.87	0.77
acute lymphocytic leukemia	PCNA	vs bgc: up, vs negatives: down	0.78	0.83
acute lymphocytic leukemia	RRBP1	vs bgc: down, vs negatives: down	0.88	0.79
acute lymphocytic leukemia	ERP29	vs bgc: up, vs negatives: down	0.72	0.72
acute lymphocytic leukemia	ILK	vs bgc: down, vs negatives: down	0.8	0.68
acute lymphocytic leukemia	ATP1B1	vs bgc: down, vs negatives: down	0.92	0.9
acute lymphocytic leukemia	RAF1	vs bgc: up, vs negatives: up	0.93	0.74
acute lymphocytic leukemia	BAG6	vs bgc: up, vs negatives: up	0.89	0.86
acute lymphocytic leukemia	ARHGDIB	vs bgc: up, vs negatives: up	0.93	0.8
acute lymphocytic leukemia	TOP2A	vs bgc: up, vs negatives: up	0.65	0.84
acute lymphocytic leukemia	ENO2	vs bgc: down, vs negatives: down	0.71	0.68
acute lymphocytic leukemia	SMARCC2	vs bgc: up, vs negatives: up	0.86	0.7
acute lymphocytic leukemia	VAMP3	vs bgc: down, vs negatives: down	0.89	0.66
acute lymphocytic leukemia	UBE2D2	vs bgc: up, vs negatives: up	0.81	0.87
acute lymphocytic leukemia	CST3	vs bgc: down, vs negatives: down	0.75	0.89
acute lymphocytic leukemia	CSNK2B	vs bgc: up, vs negatives: up	0.9	0.77
acute lymphocytic leukemia	RBM5	vs bgc: up, vs negatives: up	0.94	0.78
acute lymphocytic leukemia	ALDH2	vs bgc: down, vs negatives: down	0.77	0.91
acute lymphocytic leukemia	VIM	vs bgc: up, vs negatives: up	0.87	0.68
acute lymphocytic leukemia	CAT	vs bgc: up, vs negatives: up	0.81	0.81
acute lymphocytic leukemia	TIA1	vs bgc: up, vs negatives: up	0.89	0.89
acute lymphocytic leukemia	BUB3	vs bgc: up, vs negatives: up	0.84	0.9
acute lymphocytic leukemia	SCRN1	vs bgc: down, vs negatives: down	0.86	0.91
acute lymphocytic leukemia	NQO1	vs bgc: down, vs negatives: down	0.86	0.72
acute lymphocytic leukemia	SQSTM1	vs bgc: down, vs negatives: down	0.65	0.68
acute lymphocytic leukemia	VBP1	vs bgc: up, vs negatives: down	0.74	0.65
acute lymphocytic leukemia	QSOX1	vs bgc: down, vs negatives: down	0.65	0.69
acute lymphocytic leukemia	CTSC	vs bgc: down, vs negatives: down	0.77	0.65
acute lymphocytic leukemia	PUM2	vs bgc: up, vs negatives: up	0.93	0.83
acute lymphocytic leukemia	PRCP	vs bgc: down, vs negatives: up	0.68	0.74
acute lymphocytic leukemia	USP7	vs bgc: up, vs negatives: up	0.89	0.79
acute lymphocytic leukemia	G3BP1	vs bgc: up, vs negatives: up	0.85	0.75
acute lymphocytic leukemia	SNRPN	vs bgc: up, vs negatives: up	0.95	0.75
acute lymphocytic leukemia	RPA1	vs bgc: up, vs negatives: up	0.8	0.8
acute lymphocytic leukemia	DUSP3	vs bgc: down, vs negatives: down	0.85	0.87
acute lymphocytic leukemia	FHL1	vs bgc: up, vs negatives: up	0.75	0.67
acute lymphocytic leukemia	VAMP2	vs bgc: up, vs negatives: up	0.86	0.65
acute lymphocytic leukemia	RAE1	vs bgc: up, vs negatives: up	0.69	0.86
acute lymphocytic leukemia	SNW1	vs bgc: up, vs negatives: down	0.65	0.78
acute lymphocytic leukemia	NISCH	vs bgc: up, vs negatives: up	0.92	0.69
acute lymphocytic leukemia	PPP4R1	vs bgc: up, vs negatives: up	0.94	0.66
